date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1751331769,203,203,179,202,0,0,0
1751340221,203,203,171,202,0,0,0
1751344205,203,203,174,203,0,0,0
1751346924,203,203,166,203,0,0,0
1751350608,203,203,168,202,0,0,0
1751353934,203,203,148,202,0,0,0
1751357738,203,203,148,200,0,0,0
1751361240,203,203,158,202,0,0,0
1751364751,203,203,153,203,0,0,0
1751368200,203,203,163,201,0,0,0
1751372490,203,203,164,201,0,0,0
1751376421,203,203,161,202,0,0,0
1751379024,203,203,153,201,0,0,0
1751382713,203,203,146,202,0,0,0
1751386466,203,203,148,202,0,0,0
1751389792,203,203,125,202,0,0,0
1751393662,203,203,135,202,0,0,0
1751396927,203,203,138,202,0,0,0
1751400734,203,203,170,202,0,0,0
1751404182,203,203,163,201,0,0,0
1751407809,203,203,157,202,0,0,0
1751411435,203,203,162,201,0,0,0
1751417777,203,203,163,201,0,0,0
1751424300,203,203,162,201,0,0,0
1751427864,203,203,168,200,0,0,0
1751430098,203,203,173,201,0,0,0
1751433178,203,203,162,202,0,0,0
1751437045,203,203,154,203,0,0,0
1751440310,203,203,155,201,0,0,0
1751444120,203,203,152,202,0,0,0
1751447626,203,203,155,203,0,0,0
1751451131,203,203,161,203,0,0,0
1751454579,203,203,174,203,0,0,0
1751458871,203,203,168,203,0,0,0
1751462740,203,203,170,202,0,0,0
1751465460,203,203,162,202,0,0,0
1751469091,203,203,143,202,0,0,0
1751472779,203,203,128,202,0,0,0
1751476219,203,203,131,202,0,0,0
1751480143,203,203,135,202,0,0,0
1751483283,203,203,146,202,0,0,0
1751487086,203,203,165,201,0,0,0
1751490589,203,203,170,200,0,0,0
1751494214,203,203,161,201,0,0,0
1751497836,203,203,155,202,0,0,0
1751504175,203,203,159,200,0,0,0
1751510816,203,203,154,201,0,0,0
1751514378,203,203,157,201,0,0,0
1751516611,203,203,170,201,0,0,0
1751519690,203,203,165,202,0,0,0
1751523435,203,203,171,203,0,0,0
1751526699,203,203,159,201,0,0,0
1751530504,203,203,152,199,0,0,0
1751533945,203,203,160,202,0,0,0
1751537510,203,203,158,202,0,0,0
1751540962,203,203,167,202,0,0,0
1751545311,203,203,164,202,0,0,0
1751549057,203,203,157,202,0,0,0
1751551834,203,203,156,201,0,0,0
1751555519,203,203,146,202,0,0,0
1751559205,203,203,143,202,0,0,0
1751562707,203,203,135,202,0,0,0
1751566513,203,203,131,202,0,0,0
1751569653,203,203,148,202,0,0,0
1751573456,203,203,167,203,0,0,0
1751576958,203,203,171,202,0,0,0
1751580583,203,203,164,203,0,0,0
1751584265,203,203,157,202,0,0,0
1751590543,203,203,153,203,0,0,0
1751597062,203,203,155,202,0,0,0
1751600562,203,203,156,202,0,0,0
1751602856,203,203,163,203,0,0,0
1751605996,203,203,160,202,0,0,0
