date,bikes_nb,for_rent,disabled,reserved,no_station
1743469012,1367,1116,191,0,61
1743475293,1368,1115,189,0,64
1743478613,1373,1102,191,0,80
1743480787,1360,1095,193,0,72
1743484270,1323,1061,196,0,67
1743488131,1171,880,205,0,71
1743491449,1156,851,224,0,63
1743495251,1152,881,202,0,57
1743498689,1103,870,182,0,48
1743502309,1062,854,151,0,49
1743505710,1090,871,149,0,63
1743510001,1116,927,121,0,67
1743513687,1088,933,72,0,73
1743516584,1078,929,76,0,65
1743520267,1007,846,85,0,83
1743523886,952,743,124,0,73
1743527325,1032,809,143,0,75
1743531188,1108,884,144,0,75
1743534507,1182,932,152,0,84
1743538310,1184,951,139,0,85
1743541751,1195,964,138,0,86
1743545371,1252,1009,146,0,94
1743548993,1294,1075,132,0,82
1743555088,1308,1080,136,0,89
1743560459,1316,1098,137,0,78
1743564382,1313,1083,138,0,89
1743567158,1305,1069,139,0,95
1743570719,1256,1027,136,0,90
1743574462,1136,869,158,0,88
1743577843,1112,856,160,0,83
1743581647,1086,881,135,0,58
1743585027,1086,864,123,0,88
1743588651,1004,824,112,0,60
1743592094,1042,843,119,0,77
1743596379,1055,856,111,0,80
1743600060,1049,856,99,0,87
1743602958,1105,921,95,0,88
1743606640,1011,813,101,0,93
1743610382,961,761,121,0,75
1743613703,1028,791,162,0,72
1743617627,1078,840,152,0,83
1743620888,1169,936,143,0,86
1743624631,1186,946,142,0,90
1743628132,1221,971,141,0,103
1743631756,1232,981,145,0,99
1743635380,1283,1045,143,0,90
1743641420,1305,1060,143,0,97
1743646791,1319,1068,146,0,100
1743650775,1308,1057,146,0,100
1743653553,1312,1061,147,0,98
1743657061,1266,1008,152,0,100
1743660865,1125,856,162,0,90
1743664246,1087,819,161,0,87
1743668050,1072,823,150,0,73
1743671430,1060,855,115,0,67
1743675054,1009,838,102,0,56
1743678561,1041,875,101,0,56
1743682789,1063,895,97,0,62
1743686412,1074,920,76,0,67
1743689373,1012,844,87,0,71
1743692998,938,746,121,0,64
