date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1704150418,184,111,111,183,0,72,0
1704236838,184,118,118,183,0,65,0
1704323251,184,117,117,183,0,66,0
1704409620,184,110,110,183,0,73,0
1704496017,184,120,120,184,0,63,0
1704582385,184,123,123,183,0,61,0
1704668817,184,118,118,183,0,65,0
1704755241,184,134,135,182,0,48,0
1704841626,183,136,137,180,0,46,0
1704927986,183,140,141,181,0,41,0
1705014430,183,140,140,180,0,42,0
1705100788,183,139,139,180,0,44,0
1705187206,184,135,136,181,0,48,0
1705273622,184,134,135,180,0,48,0
1705360035,184,138,139,181,0,44,0
1705446433,184,141,142,180,0,41,0
1705532847,176,138,139,173,0,37,0
1705619267,184,139,140,181,0,43,0
1705705588,185,138,139,181,0,45,0
1705792088,185,139,140,181,0,44,0
1705878440,185,138,139,182,0,46,0
1705964853,185,137,138,183,0,47,0
1706051217,186,135,136,181,0,49,0
1706137651,186,127,129,181,0,56,1
1706224036,186,125,126,181,0,60,0
1706310443,185,130,131,182,0,54,0
1706396852,185,123,124,182,0,60,1
1706483296,185,116,116,183,0,68,0
1706569683,185,128,128,183,0,56,0
1706655996,185,131,132,182,0,52,0
1706742420,185,139,140,181,0,45,0
1706828815,186,143,144,181,0,41,0
1706915174,186,140,140,181,0,45,0
1707001635,186,136,136,180,0,49,0
1707087989,186,130,131,179,0,54,0
1707174445,186,138,139,180,0,46,0
1707260796,186,142,143,180,0,42,0
1707347245,186,144,145,180,0,40,0
1707433659,186,146,146,180,0,39,0
1707520032,186,154,155,181,0,30,0
1707606419,186,158,159,181,0,26,0
1707692801,186,149,151,177,0,34,1
1707779249,186,150,151,179,0,34,1
1707865579,178,145,146,173,0,31,0
1707952011,186,150,151,178,0,35,0
1708038429,186,148,149,178,0,36,1
1708124796,186,148,149,180,0,36,1
1708211152,186,151,152,180,0,33,0
1708297598,186,145,146,180,0,39,0
1708384011,185,146,147,181,0,38,0
1708470391,185,145,146,180,0,38,0
1708556853,185,147,148,179,0,36,1
1708643347,185,151,152,178,0,32,1
1708729582,185,153,155,177,0,30,1
1708816056,185,157,158,176,0,26,1
1708902409,185,160,161,176,0,23,1
1708988858,185,158,159,176,0,25,0
1709075170,185,161,164,173,0,20,2
1709161660,184,160,162,171,0,21,2
1709248016,184,162,164,171,0,19,1
1709334368,184,165,167,172,0,16,2
1709420815,184,164,166,171,0,17,2
1709507187,184,170,172,171,0,11,1
1709593656,184,163,165,171,0,18,1
1709679985,185,163,165,169,0,19,2
1709766434,185,162,165,171,0,19,2
1709852855,185,162,164,171,0,20,1
1709939290,185,170,171,174,0,13,1
1710025648,185,172,174,173,0,10,2
1710112012,185,164,166,172,0,18,1
1710198471,185,161,164,170,0,21,2
1710284870,185,160,162,168,0,22,2
1710371234,185,155,157,172,0,28,1
1710457593,185,156,158,174,0,26,2
1710544047,183,156,158,173,0,24,1
1710630455,182,154,156,171,0,25,1
1710716889,182,152,154,172,0,27,1
1710803282,183,151,153,175,0,30,2
1710889660,185,154,156,175,0,28,1
1710976102,185,153,154,175,0,30,1
1711062481,185,155,156,174,0,28,0
1711148797,185,151,153,175,0,31,1
1711235175,185,149,151,176,0,33,1
1711321651,185,147,149,176,0,35,2
1711408013,185,154,156,176,0,28,1
1711494474,185,160,162,176,0,23,1
1711580820,185,160,161,175,0,23,1
1711667246,185,159,161,174,0,23,1
1711753600,185,160,161,175,0,23,1
1711839985,185,162,164,173,0,20,2
1711926418,185,163,165,173,0,19,1
1712012877,185,158,159,173,0,25,1
1712099262,185,159,161,175,0,23,1
1712185617,185,155,156,175,0,28,1
1712272083,185,152,153,175,0,31,1
1712358461,185,150,152,175,0,32,1
1712444843,185,149,149,178,0,35,0
1712531231,185,145,146,179,0,38,0
1712617661,185,147,148,179,0,36,0
1712704073,185,151,152,179,0,32,0
1712790500,185,150,151,177,0,33,0
1712876919,185,144,144,178,0,40,0
1712963113,185,142,142,179,0,42,0
1713049688,185,135,136,180,0,48,1
1713138936,185,131,132,181,0,52,0
1713222396,185,142,143,182,0,41,0
1713308879,185,149,150,182,0,34,0
1713395252,185,146,147,179,0,37,1
1713481692,185,144,145,177,0,39,1
1713568139,185,142,143,177,0,41,1
1713654386,185,146,147,179,0,37,1
1713740797,185,135,136,178,0,48,1
1713827217,185,149,151,179,0,33,1
1713913620,185,154,155,177,0,29,1
1714000164,185,157,158,177,0,26,1
1714086455,185,153,155,175,0,29,1
1714172872,185,159,161,178,0,23,1
