date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
null,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0
1682914113,146,130,130,142,0,16,0
1682917593,146,130,131,142,0,15,1
1682921326,146,131,133,141,0,13,2
1682924819,146,132,133,143,0,13,1
1682928511,146,125,125,142,0,21,0
null,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0
1682939105,146,106,107,137,0,39,1
1682943153,146,85,86,136,0,60,1
1682946537,146,79,80,134,0,66,1
1682949918,146,75,78,135,0,68,3
1682953564,146,91,92,142,0,54,1
1682957252,146,110,112,141,0,34,2
1682960731,146,99,99,142,0,47,1
1682964515,146,112,112,142,0,34,0
1682967874,146,108,108,144,0,38,0
1682971617,146,101,102,143,0,44,1
1682975148,146,98,101,141,0,45,3
