date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1733014749,196,196,155,196,0,0,0
1733021154,196,196,158,196,0,0,0
1733024234,196,196,156,196,0,0,0
1733026471,196,196,153,196,0,0,0
1733029794,196,196,153,196,0,0,0
1733033601,196,196,154,196,0,0,0
1733036927,196,196,157,196,0,0,0
1733040738,196,196,156,196,0,0,0
1733044124,196,196,154,196,0,0,0
1733047761,196,196,150,195,0,0,0
1733051231,196,196,147,195,0,0,0
1733055406,196,196,158,195,0,0,0
1733059037,196,196,144,195,0,0,0
1733062066,196,196,139,195,0,0,0
1733065700,196,196,133,196,0,0,0
1733069452,196,196,143,196,0,0,0
1733072844,196,196,145,196,0,0,0
1733076720,196,196,156,196,0,0,0
1733079987,196,196,151,193,0,0,0
1733083797,196,196,158,194,0,0,0
1733087306,196,196,160,193,0,0,0
1733090934,196,196,155,194,0,0,0
1733094503,196,196,155,193,0,0,0
1733100729,196,196,157,193,0,0,0
1733106228,196,196,160,193,0,0,0
1733110218,196,196,160,193,0,0,0
1733112757,196,196,160,193,0,0,0
1733116205,196,196,160,193,0,0,0
1733120076,196,196,156,194,0,0,0
1733123465,196,196,146,194,0,0,0
1733127282,196,196,133,193,0,0,0
1733130672,196,196,126,195,0,0,0
1733134250,196,196,140,195,0,0,0
1733137711,196,196,144,195,0,0,0
1733142016,196,196,152,195,0,0,0
1733145650,196,196,157,194,0,0,0
1733148584,196,196,162,193,0,0,0
1733152209,196,196,166,191,0,0,0
1733155954,196,196,154,193,0,0,0
1733159277,196,196,150,193,0,0,0
1733163204,196,196,144,192,0,0,0
1733166465,196,196,158,192,0,0,0
1733170210,196,196,166,192,0,0,0
1733173714,196,196,163,191,0,0,0
1733177340,196,196,163,190,0,0,0
1733181026,196,196,166,191,0,0,0
1733187071,196,196,158,190,0,0,0
1733192510,196,196,160,190,0,0,0
1733196559,196,196,161,190,0,0,0
1733199098,196,196,160,191,0,0,0
1733202603,196,196,163,191,0,0,0
1733206472,196,196,159,192,0,0,0
1733209798,196,196,153,191,0,0,0
1733213608,196,196,133,191,0,0,0
1733217053,196,196,136,193,0,0,0
1733220697,196,196,151,191,0,0,0
1733224091,196,196,139,192,0,0,0
1733228323,196,196,160,192,0,0,0
1733232070,196,196,171,192,0,0,0
1733234974,196,196,164,193,0,0,0
1733238615,196,196,160,192,0,0,0
1733242323,196,196,152,192,0,0,0
1733245766,196,196,148,192,0,0,0
1733249513,196,196,152,192,0,0,0
1733252836,196,196,166,193,0,0,0
1733256684,196,196,160,193,0,0,0
1733260125,196,196,160,193,0,0,0
,0,0,0,0,0,0,0
1733267338,196,196,155,192,0,0,0
1733273497,196,196,154,193,0,0,0
1733278933,196,196,160,193,0,0,0
1733282858,196,196,158,193,0,0,0
1733285515,196,196,160,193,0,0,0
1733289017,196,196,159,193,0,0,0
1733292881,196,196,158,193,0,0,0
1733296203,196,196,145,192,0,0,0
1733300011,196,196,140,193,0,0,0
1733303458,196,196,142,195,0,0,0
1733307090,196,196,155,193,0,0,0
1733310539,196,196,142,196,0,0,0
1733314717,196,196,154,194,0,0,0
1733318464,196,196,171,195,0,0,0
1733321363,196,196,163,194,0,0,0
1733325047,196,196,169,193,0,0,0
1733328734,196,196,163,195,0,0,0
1733332116,196,196,158,196,0,0,0
1733336041,196,196,155,196,0,0,0
1733339424,196,196,163,196,0,0,0
1733343049,196,196,165,195,0,0,0
1733346553,196,196,167,195,0,0,0
1733350117,196,196,166,194,0,0,0
1733353800,196,196,170,192,0,0,0
1733359839,196,196,162,192,0,0,0
1733365337,196,196,160,194,0,0,0
1733369323,196,196,163,192,0,0,0
1733371980,196,196,165,192,0,0,0
1733375421,196,196,164,194,0,0,0
1733379287,196,196,162,194,0,0,0
1733382610,196,196,160,196,0,0,0
1733386418,196,196,139,195,0,0,0
1733389862,196,196,140,195,0,0,0
1733393445,196,196,148,196,0,0,0
1733396889,196,196,148,196,0,0,0
1733401118,196,196,159,195,0,0,0
1733404865,196,196,156,196,0,0,0
1733407766,196,196,159,196,0,0,0
1733411402,196,196,168,196,0,0,0
1733415147,196,196,159,195,0,0,0
1733418498,196,196,150,195,0,0,0
1733422305,196,196,164,195,0,0,0
1733425628,196,196,159,196,0,0,0
1733429494,196,196,170,196,0,0,0
1733432939,196,196,168,195,0,0,0
1733436564,196,196,160,195,0,0,0
1733440189,196,196,164,195,0,0,0
1733446230,196,196,163,195,0,0,0
1733451691,196,196,157,195,0,0,0
1733455678,196,196,155,195,0,0,0
1733458335,196,196,153,195,0,0,0
1733461778,196,196,160,195,0,0,0
1733465646,196,196,160,196,0,0,0
1733468969,196,196,156,194,0,0,0
1733472783,196,196,143,191,0,0,0
1733476229,196,196,147,195,0,0,0
1733479863,196,196,153,194,0,0,0
1733483255,196,196,157,196,0,0,0
1733487549,196,196,161,196,0,0,0
1733491236,196,196,166,196,0,0,0
1733494140,196,196,159,196,0,0,0
1733497770,196,196,165,196,0,0,0
1733501519,196,196,163,196,0,0,0
1733504906,196,196,158,194,0,0,0
1733508837,196,196,160,196,0,0,0
1733512040,196,196,160,195,0,0,0
1733515850,196,196,170,195,0,0,0
1733519356,196,196,163,196,0,0,0
1733522923,196,196,166,196,0,0,0
1733526549,196,196,169,195,0,0,0
1733532591,196,196,159,194,0,0,0
1733537968,196,196,153,196,0,0,0
1733541956,196,196,161,196,0,0,0
1733544735,196,196,165,196,0,0,0
1733548125,196,196,166,196,0,0,0
1733551990,196,196,164,196,0,0,0
1733555312,196,196,161,194,0,0,0
1733559119,196,196,159,194,0,0,0
1733562564,196,196,166,196,0,0,0
1733566198,196,196,155,195,0,0,0
1733569645,196,196,145,195,0,0,0
1733573818,196,196,170,195,0,0,0
1733577384,196,196,169,196,0,0,0
1733580468,196,196,169,196,0,0,0
1733584096,196,196,170,196,0,0,0
1733587844,196,196,156,196,0,0,0
1733591230,196,196,160,196,0,0,0
1733595161,196,196,172,196,0,0,0
1733598425,196,196,168,196,0,0,0
1733602173,196,196,173,196,0,0,0
1733605681,196,196,172,195,0,0,0
1733609309,196,196,167,196,0,0,0
1733612936,196,196,165,196,0,0,0
1733619281,196,196,157,195,0,0,0
1733624899,196,196,159,195,0,0,0
1733628645,196,196,162,195,0,0,0
1733631121,196,196,162,196,0,0,0
1733634566,196,196,158,195,0,0,0
1733638378,196,196,163,195,0,0,0
1733641712,196,196,166,196,0,0,0
1733645520,196,196,161,196,0,0,0
1733648964,196,196,161,196,0,0,0
1733652533,196,196,158,195,0,0,0
1733655993,196,196,158,196,0,0,0
1733660228,196,196,157,196,0,0,0
1733663858,196,196,147,196,0,0,0
1733666880,196,196,147,195,0,0,0
1733670508,196,196,148,195,0,0,0
1733674198,196,196,153,196,0,0,0
1733677647,196,196,159,195,0,0,0
1733681513,196,196,162,195,0,0,0
1733684790,196,196,171,195,0,0,0
1733688611,196,196,167,195,0,0,0
1733692055,196,196,169,195,0,0,0
1733695681,196,196,164,194,0,0,0
1733699305,196,196,152,195,0,0,0
1733705586,196,196,154,195,0,0,0
1733711082,196,196,158,195,0,0,0
1733715069,196,196,160,195,0,0,0
1733717605,196,196,161,195,0,0,0
1733721048,196,196,161,195,0,0,0
1733724870,196,196,158,195,0,0,0
1733728260,196,196,146,194,0,0,0
1733732075,196,196,131,195,0,0,0
1733735524,196,196,145,195,0,0,0
1733739104,196,196,149,194,0,0,0
1733742486,196,196,148,195,0,0,0
1733746837,196,196,151,195,0,0,0
1733750522,196,196,158,195,0,0,0
1733753360,196,196,158,196,0,0,0
1733757042,196,196,162,195,0,0,0
1733760785,196,196,150,196,0,0,0
1733764165,196,196,150,196,0,0,0
1733768028,196,196,151,196,0,0,0
1733771289,196,196,171,196,0,0,0
1733775095,196,196,165,196,0,0,0
1733778538,196,196,156,194,0,0,0
1733782161,196,196,154,194,0,0,0
1733785783,196,196,161,194,0,0,0
1733791941,196,196,159,195,0,0,0
1733797437,196,196,159,195,0,0,0
1733801423,196,196,158,195,0,0,0
1733803958,196,196,159,195,0,0,0
1733807400,196,196,162,195,0,0,0
1733811265,196,196,166,195,0,0,0
1733814588,196,196,154,196,0,0,0
1733818455,196,196,144,194,0,0,0
1733821841,196,196,139,194,0,0,0
1733825479,196,196,150,195,0,0,0
1733828936,196,196,151,195,0,0,0
1733833163,196,196,161,196,0,0,0
1733836913,196,196,160,196,0,0,0
1733839814,196,196,161,196,0,0,0
1733843438,196,196,167,196,0,0,0
1733847181,196,196,148,196,0,0,0
1733850501,196,196,155,196,0,0,0
1733854427,196,196,139,195,0,0,0
1733857628,196,196,148,196,0,0,0
1733861494,196,196,164,195,0,0,0
1733864941,196,196,164,195,0,0,0
1733868570,196,196,164,195,0,0,0
1733872133,196,196,155,195,0,0,0
1733878290,196,196,146,196,0,0,0
1733883740,196,196,154,195,0,0,0
1733887665,196,196,155,195,0,0,0
1733890384,196,196,158,195,0,0,0
1733893826,196,196,162,195,0,0,0
1733897690,196,196,159,195,0,0,0
1733901013,196,196,148,193,0,0,0
1733904819,196,196,136,194,0,0,0
1733908265,196,196,136,195,0,0,0
1733911870,196,196,139,195,0,0,0
1733915266,196,196,123,196,0,0,0
1733919562,196,196,157,195,0,0,0
1733923253,196,196,155,196,0,0,0
1733926154,196,196,154,196,0,0,0
1733929839,196,196,157,196,0,0,0
1733933522,196,196,149,196,0,0,0
1733936902,196,196,150,196,0,0,0
1733940828,196,196,149,196,0,0,0
