date,bikes_nb,for_rent,disabled,reserved,no_station
1756688457,1364,995,232,0,129
1756696407,1394,1020,239,0,126
1756700465,1386,1018,239,0,120
1756703496,1368,998,243,0,118
1756707492,1341,1027,180,0,126
1756710701,1309,1025,142,0,134
1756714576,1353,1084,120,0,141
1756717971,1345,1100,105,0,132
1756721547,1328,1107,87,0,127
1756724905,1357,1135,88,0,127
1756729265,1323,1103,87,0,126
1756732892,1315,1113,88,0,109
1756735797,1397,1117,162,0,111
1756739439,1397,1117,165,0,106
1756743134,1213,923,177,0,107
1756746526,1192,886,191,0,111
1756750402,1287,954,210,0,117
1756753670,1347,987,220,0,134
1756757424,1351,984,219,0,138
1756760880,1387,1011,221,0,146
1756764519,1435,1071,214,0,144
1756768159,1456,1060,220,0,167
1756774344,1480,1115,221,0,136
1756779731,1483,1110,224,0,142
1756783966,1484,1114,227,0,135
1756786387,1470,1100,226,0,136
1756789838,1435,1063,230,0,135
1756793771,1289,907,245,0,131
1756797043,1271,898,242,0,119
1756800895,1297,909,234,0,135
