date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1677625663, 121, 102, 102, 114, 0, 19, 0
1677631582,121,97,99,113,0,22,2
1677637614,121,100,103,112,0,18,3
1677640945,121,100,103,113,0,18,3
1677643755,121,99,102,113,0,19,3
1677647273,121,100,103,113,0,18,3
1677651042,121,105,108,114,0,13,3
1677654434,121,101,104,115,0,17,3
1677658244,121,94,95,117,0,26,1
1677661644,121,107,108,115,0,13,1
1677665294,121,107,108,116,0,13,1
1677668787,121,100,100,117,0,21,0
1677672925,121,97,97,118,0,24,0
1677676711,121,103,107,115,0,14,4
1677679658,121,100,102,115,0,19,2
1677683248,121,93,94,116,0,27,1
1677687033,121,93,93,114,0,28,0
1677690399,121,94,95,115,0,26,1
1677694195,121,96,98,115,0,23,2
1677697602,121,89,93,110,0,28,4
1677701308,121,95,98,107,0,23,3
1677704846,121,93,96,109,0,25,3
