date,bikes_nb,for_rent,disabled,reserved,no_station
1775006945,2289,1885,206,0,195
1775018309,2307,1887,213,0,205
1775024407,2150,1683,242,0,205
1775030878,2186,1694,229,0,239
1775037475,2182,1785,205,0,186
1775040893,2162,1732,202,0,221
1775043753,2113,1681,216,0,214
1775048082,2142,1697,228,0,212
1775053446,2109,1623,253,0,232
1775059193,1947,1412,306,0,226
1775065215,2059,1462,358,0,238
1775069110,2120,1549,361,0,209
1775073068,2181,1639,329,0,206
1775075626,2205,1664,326,0,209
1775079170,2259,1700,329,0,224
1775082402,2314,1775,318,0,214
1775086002,2350,1811,312,0,219
1775092710,2353,1852,305,0,189
1775103632,2376,1829,314,0,226
1775109918,2229,1633,343,0,242
1775116685,2162,1597,322,0,242
1775120096,2155,1615,285,0,253
1775123444,2160,1662,272,0,218
1775126501,2195,1566,295,0,333
1775129840,2216,1579,287,0,344
1775134111,2234,1639,283,0,304
1775139358,2107,1576,279,0,244
1775145043,2005,1458,297,0,248
1775148216,2050,1448,321,0,268
1775151630,2080,1471,323,0,277
1775155287,2185,1547,343,0,286
1775158830,2287,1658,343,0,277
1775161455,2252,1644,327,0,274
1775165236,2307,1736,316,0,250
1775168538,2345,1776,324,0,241
1775172257,2395,1795,325,0,271
1775179273,2411,1868,325,0,212
1775190073,2451,1880,335,0,231
1775196299,2316,1712,371,0,215
1775202883,2262,1631,349,0,253
1775205686,2248,1671,329,0,229
1775209351,2228,1691,329,0,208
1775212402,2125,1588,317,0,219
1775215811,2144,1578,319,0,244
1775219961,2134,1579,327,0,219
1775224537,2101,1517,354,0,223
1775227044,2024,1473,328,0,223
1775230341,1975,1385,353,0,237
1775233689,1972,1339,392,0,241
1775237100,2012,1347,418,0,242
1775241193,2113,1432,453,0,224
1775244672,2218,1550,431,0,232
1775247846,2233,1555,417,0,257
1775251385,2270,1601,411,0,253
1775254930,2309,1702,375,0,229
1775258648,2351,1726,365,0,254
1775265301,2384,1783,367,0,229
1775275602,2430,1833,367,0,225
1775281764,2367,1750,385,0,227
1775285243,2329,1742,365,0,218
1775288473,2276,1712,355,0,207
1775291343,2195,1620,332,0,240
1775294828,2079,1563,307,0,210
1775298187,2041,1525,312,0,205
1775301603,2040,1508,314,0,219
1775305940,2032,1504,340,0,189
1775310211,1992,1429,381,0,178
1775312715,1991,1419,390,0,180
1775316071,1898,1283,442,0,171
1775319796,1872,1170,519,0,178
1775323281,1887,1108,573,0,202
1775327224,1960,1152,646,0,163
1775330560,2122,1330,601,0,184
1775333884,2155,1338,592,0,223
1775337675,2237,1496,527,0,212
1775341095,2290,1551,524,0,213
1775344876,2322,1591,490,0,237
1775352324,2366,1702,466,0,195
1775363314,2429,1702,487,0,237
1775369303,2420,1695,489,0,233
1775375282,2322,1624,480,0,213
1775377908,2249,1560,466,0,220
1775381320,2168,1499,447,0,221
1775384558,2101,1427,461,0,211
1775388038,2103,1438,467,0,195
1775392434,2112,1379,538,0,192
1775396765,2058,1300,576,0,179
1775399205,2037,1256,603,0,175
1775402497,1945,1140,626,0,173
1775406277,1893,1037,676,0,178
1775409636,1853,890,753,0,206
1775413722,2078,1068,813,0,197
1775417199,2187,1169,827,0,193
1775420478,2261,1280,778,0,200
1775424090,2292,1322,754,0,216
1775427571,2337,1366,733,0,237
1775431420,2359,1428,705,0,225
1775438681,2405,1533,642,0,228
1775450158,2428,1530,643,0,253
1775456631,2409,1559,632,0,216
1775463401,2224,1471,516,0,236
1775469510,2064,1392,475,0,199
1775473048,2048,1390,468,0,191
1775475975,2081,1422,462,0,195
1775479629,2043,1378,465,0,200
1775484260,1999,1295,509,0,192
1775489817,1940,1177,563,0,197
1775493290,1914,1083,630,0,198
1775496949,2063,1219,630,0,209
1775500920,2148,1308,640,0,197
1775504631,2228,1397,612,0,210
1775507252,2262,1430,579,0,243
1775510913,2290,1540,532,0,220
1775514271,2360,1651,483,0,227
1775517931,2378,1657,472,0,248
1775524945,2390,1726,457,0,206
1775535854,2397,1686,458,0,254
1775542319,2216,1505,482,0,210
1775549093,2202,1498,451,0,229
1775555861,2162,1557,401,0,193
1775559167,2130,1526,376,0,222
1775562216,2081,1492,375,0,196
1775566614,2133,1521,372,0,216
1775571980,2101,1484,389,0,225
1775577837,1883,1215,445,0,215
1775584120,2028,1260,508,0,257
1775587655,2126,1364,522,0,237
1775591370,2212,1468,489,0,255
1775594115,2251,1544,475,0,232
1775597578,2288,1590,464,0,234
1775600875,2365,1667,451,0,243
1775604480,2376,1676,423,0,272
1775611378,2397,1730,433,0,230
1775622485,2414,1729,424,0,257
1775628828,2227,1547,452,0,218
1775635539,2192,1484,462,0,231
1775642305,2133,1504,410,0,216
