date,bikes_nb,for_rent,disabled,reserved,no_station
1704150418,307,280,0,0,22
1704236836,348,327,0,0,18
1704323251,340,316,0,0,22
1704409620,318,294,0,0,21
1704496017,359,330,0,0,22
1704582384,395,366,0,0,18
1704668819,384,359,0,0,16
1704755242,522,486,0,0,28
1704841627,573,534,0,0,27
1704927985,573,533,0,0,28
1705014430,591,549,0,0,35
1705100787,591,554,0,0,28
1705187206,541,510,0,0,21
1705273622,521,491,0,0,22
1705360054,566,532,0,0,26
1705446434,596,565,0,0,20
1705532848,611,559,0,0,20
1705619267,592,567,0,0,17
1705705589,570,547,0,0,16
1705792089,594,569,0,0,17
1705878440,582,550,0,0,18
1705964854,561,531,0,0,19
1706051217,593,565,0,0,16
1706137652,553,522,0,0,20
1706224037,504,478,0,0,16
1706310443,520,492,0,0,19
1706396852,451,417,0,0,22
1706483296,383,349,0,0,20
1706569684,449,416,0,0,22
1706655996,522,484,0,0,28
1706742421,556,519,0,0,26
1706828816,611,579,0,0,21
1706915175,620,593,0,0,18
1707001636,615,578,0,0,29
1707087989,560,527,0,0,21
1707174446,621,583,0,0,24
1707260797,722,679,0,0,26
1707347246,746,705,0,0,26
1707433660,771,729,0,0,37
1707520033,863,824,0,0,27
1707606420,929,893,0,0,23
1707692771,834,792,0,0,30
1707779250,825,781,0,0,27
1707865580,770,768,0,0,24
1707952011,827,787,0,0,24
1708038430,765,734,0,0,20
1708124796,827,794,0,0,20
1708211153,812,766,0,0,27
1708297599,701,656,0,0,33
1708383981,764,715,0,0,28
1708470392,776,735,0,0,22
1708556853,773,730,0,0,26
1708643348,881,833,0,0,27
1708729583,904,847,0,0,35
1708816057,949,887,0,0,35
1708902410,952,905,0,0,28
1708988859,1018,967,0,0,27
1709075171,1105,1063,0,0,16
1709161661,1146,1099,0,0,23
1709248018,1183,1103,0,0,45
1709334368,1226,1146,0,0,41
1709420816,1225,1172,0,0,23
1709507188,1226,1171,0,0,28
1709593657,1240,1186,0,0,25
1709679986,1219,1163,0,0,23
1709766435,1205,1140,0,0,27
1709852856,1202,1149,0,0,25
1709939291,1309,1264,0,0,19
1710025649,1418,1371,0,0,18
1710112013,1297,1246,0,0,19
1710198472,1236,1184,0,0,21
1710284871,1190,1138,0,0,23
1710371235,1072,1024,0,0,25
1710457594,983,934,0,0,28
1710544048,998,940,0,0,40
1710630425,919,860,0,0,34
1710716889,837,783,0,0,36
1710803265,828,780,0,0,26
1710889661,959,912,0,0,23
1710976103,959,907,0,0,31
1711062482,939,886,0,0,35
1711148798,885,834,0,0,36
1711235176,835,784,0,0,32
1711321651,747,703,0,0,31
1711408013,882,840,0,0,30
1711494475,1111,1060,0,0,31
1711580822,1101,1051,0,0,32
1711667246,1062,1000,0,0,37
1711753600,1042,986,0,0,37
1711839956,1042,992,0,0,34
1711926390,1080,1015,0,0,51
1712012877,1037,990,0,0,35
1712099263,1014,964,0,0,35
1712185619,978,924,0,0,31
1712272084,897,841,0,0,33
1712358462,880,822,0,0,33
1712444843,774,728,0,0,29
1712531231,686,633,0,0,32
1712617662,755,708,0,0,32
1712704074,795,747,0,0,27
1712790500,815,776,0,0,26
1712876920,757,716,0,0,30
1712963113,694,655,0,0,25
1713049689,561,527,0,0,21
1713138937,539,509,0,0,19
1713222397,630,603,0,0,18
1713308880,743,717,0,0,16
1713395222,788,759,0,0,19
1713481693,811,777,0,0,22
1713568139,795,760,0,0,24
1713654386,814,781,0,0,23
1713740799,733,699,0,0,23
1713827218,830,792,0,0,22
1713913622,886,857,0,0,18
1714000165,955,926,0,0,18
1714086456,958,925,0,0,21
1714172873,1045,1000,0,0,30
1714259246,1064,1013,0,0,35
1714345604,1043,981,0,0,41
1714431996,971,918,0,0,31
1714518428,979,928,0,0,27
1714604904,937,893,0,0,25
1714691298,1002,961,0,0,28
1714777668,974,928,0,0,31
1714864082,897,853,0,0,29
1714950411,841,793,0,0,26
1715036821,921,876,0,0,20
1715123200,916,865,0,0,30
1715209706,815,771,0,0,28
1715296070,789,741,0,0,32
1715382454,772,717,0,0,37
1715468868,834,779,0,0,32
1715555220,812,762,0,0,30
1715641653,853,805,0,0,25
1715728027,970,934,0,0,25
1715814507,929,886,0,0,24
1715900844,831,782,0,0,25
1715987361,764,747,0,0,26
1716073614,757,715,0,0,28
1716160133,711,664,0,0,29
