date,bikes_nb,for_rent,disabled,reserved,no_station
1785549100,2827,1807,517,0,472
1785561413,2860,1787,534,0,504
1785571342,2693,1732,496,0,429
1785579990,2593,1722,444,0,395
1785585269,2612,1739,454,0,405
1785588945,2583,1694,477,0,397
1785594087,2560,1632,527,0,385
1785599472,2460,1472,595,0,385
1785602850,2424,1435,611,0,366
1785606653,2446,1419,624,0,390
1785610387,2495,1450,623,0,419
1785614670,2523,1481,637,0,391
1785620552,2577,1540,594,0,415
1785624170,2716,1681,575,0,434
1785628033,2707,1642,544,0,477
1785635322,2819,1764,537,0,465
1785647762,2843,1764,559,0,474
1785657815,2688,1742,500,0,399
1785666260,2590,1739,428,0,392
1785671585,2546,1677,424,0,411
1785675448,2496,1658,415,0,382
1785680719,2480,1669,428,0,352
1785685920,2388,1550,480,0,343
1785689161,2342,1490,510,0,314
1785693138,2417,1484,545,0,354
1785696809,2399,1490,534,0,355
1785701090,2523,1582,560,0,352
1785707028,2618,1671,545,0,364
1785710649,2677,1742,507,0,388
1785714577,2704,1728,487,0,443
1785721863,2763,1827,493,0,394
1785735074,2721,1719,512,0,452
1785748759,2587,1581,503,0,471
